iter	RMSE
0	0.8574806122
1	0.7888198856
2	0.7293085231
3	0.6764274328
4	0.6273574826
5	0.583175949
6	0.5456055473
7	0.5101054119
8	0.4800923755
9	0.4532320831
10	0.4313412023
11	0.4107936104
12	0.3925820456
13	0.3766982591
14	0.3637748993
15	0.3518758786
16	0.3412570964
17	0.3325171184
18	0.3246411155
19	0.3175252567
20	0.3112750415
21	0.3059271752
22	0.3004469334
23	0.2958589943
24	0.2925262733
25	0.2891110918
26	0.2864366777
27	0.2835073988
28	0.2810041526
29	0.2789210616
30	0.2765829304
31	0.273952338
32	0.2717038192
33	0.2698116774
34	0.2682862608
35	0.2664824235
36	0.2653233107
37	0.2635766087
38	0.2623936785
39	0.2609092038
40	0.2596355568
41	0.2590996289
42	0.2578183106
43	0.2570522476
44	0.2563631604
45	0.2553131732
46	0.2541794745
47	0.2534260719
48	0.2521800111
49	0.251245318
50	0.2508763827
51	0.250404247
52	0.249250008
53	0.2486330314
54	0.2473399479
55	0.2464867541
56	0.2449766866
57	0.2439086336
58	0.2430868247
59	0.2425046466
60	0.2416815724
61	0.2413228952
62	0.2406620952
63	0.2400243427
64	0.2396209131
65	0.2390147177
66	0.2384978516
67	0.2382570868
68	0.2372674513
69	0.2369481569
70	0.2362068924
71	0.2359109661
72	0.2359036629
73	0.2356252178
74	0.235193075
75	0.2345497494
76	0.2341449738
77	0.2335992623
78	0.233311977
79	0.2328577457
80	0.2322347407
81	0.2319563529
82	0.2312455011
83	0.2303464124
84	0.2297792311
85	0.2291718567
86	0.2281251415
87	0.2277258636
88	0.2270880722
89	0.2266565862
90	0.2263340067
91	0.2252259531
92	0.2250509394
93	0.2245757022
94	0.2240091422
95	0.223584234
96	0.2231410738
97	0.2228194339
98	0.2225797326
99	0.2219505577
100	0.2216752851
101	0.2211829474
102	0.220815879
103	0.2204207887
104	0.2199186212
105	0.2195778401
106	0.2191109436
107	0.2186973876
108	0.2182283323
109	0.2179667725
110	0.2172620072
111	0.2167761808
112	0.2162997853
113	0.2160501777
114	0.2158415861
115	0.2156085896
116	0.2153296131
117	0.215015172
118	0.2147467208
119	0.2141523568
120	0.2137151232
121	0.2132441178
122	0.2128344127
123	0.212179417
124	0.2119432206
125	0.2117404141
126	0.2113004859
127	0.2107741522
128	0.2103797459
129	0.210100642
130	0.210069112
131	0.2097635252
132	0.2095129945
133	0.208821228
134	0.2085342806
135	0.2081694036
136	0.2079511849
137	0.2079478923
138	0.2073614209
139	0.2071454733
140	0.2068487274
141	0.2064451698
142	0.2058270323
143	0.2055685898
144	0.2052524444
145	0.205077234
146	0.204697401
147	0.2046858836
148	0.2041427559
149	0.203766014
150	0.2031163851
151	0.2025786177
152	0.202234817
153	0.2018335355
154	0.2016611387
155	0.2011253211
156	0.2010587844
157	0.2010192354
158	0.2004067598
159	0.1999139837
160	0.1997204898
161	0.1988747481
162	0.1987831354
163	0.198522781
164	0.1982972559
165	0.1981264172
166	0.1979163596
167	0.197693728
168	0.1974073252
169	0.1968859847
170	0.1963728447
171	0.1960900185
172	0.195895499
173	0.1955626959
174	0.195537319
175	0.1954067631
176	0.1950056588
177	0.1942517947
178	0.1939132443
179	0.1936377762
180	0.1934880703
181	0.1932889263
182	0.1927695478
183	0.1923612977
184	0.1919765743
185	0.191807966
186	0.1913787605
187	0.1912052326
188	0.1910954956
189	0.1908824804
190	0.190402843
191	0.1902996614
192	0.1897267602
193	0.1892591144
194	0.1888427526
195	0.1885726441
196	0.1882370421
197	0.1877572599
198	0.187499737
199	0.187250542
200	0.187000137
201	0.1866701188
202	0.1861762754
203	0.1859139851
204	0.1851889487
205	0.1848539842
206	0.1845278452
207	0.1839801667
208	0.1839283786
