iter	Passed	Remaining
0	68	68892
1	136	68211
2	205	68319
3	275	68608
4	344	68486
5	412	68302
6	479	67986
7	547	67885
8	615	67765
9	684	67719
10	751	67590
11	819	67444
12	887	67390
13	957	67446
14	1026	67427
15	1096	67408
16	1165	67376
17	1234	67363
18	1302	67267
19	1371	67183
20	1439	67115
21	1509	67096
22	1577	66994
23	1645	66912
24	1712	66793
25	1779	66651
26	1849	66656
27	1920	66672
28	1996	66849
29	2069	66915
30	2138	66844
31	2206	66735
32	2274	66650
33	2343	66578
34	2410	66466
35	2478	66365
36	2547	66311
37	2616	66229
38	2683	66120
39	2751	66044
40	2819	65948
41	2888	65885
42	2956	65790
43	3025	65732
44	3092	65621
45	3160	65540
46	3227	65434
47	3295	65370
48	3363	65275
49	3430	65187
50	3498	65105
51	3567	65032
52	3635	64957
53	3705	64910
54	3773	64836
55	3839	64728
56	3910	64698
57	3979	64636
58	4048	64564
59	4117	64500
60	4185	64428
61	4254	64368
62	4323	64296
63	4392	64245
64	4461	64177
65	4529	64094
66	4596	64014
67	4665	63951
68	4734	63878
69	4802	63803
70	4868	63705
71	4937	63639
72	4940	62732
73	5008	62672
74	5076	62615
75	5145	62562
76	5217	62540
77	5292	62557
78	5365	62550
79	5435	62512
80	5504	62453
81	5572	62384
82	5640	62322
83	5708	62245
84	5777	62194
85	5844	62115
86	5911	62035
87	5978	61958
88	6046	61891
89	6115	61835
90	6189	61831
91	6263	61822
92	6335	61789
93	6406	61745
94	6474	61676
95	6543	61613
96	6611	61549
97	6680	61491
98	6749	61431
99	6818	61368
100	6883	61269
101	6951	61197
102	7020	61139
103	7089	61075
104	7158	61014
105	7226	60947
106	7302	60947
107	7381	60964
108	7455	60945
109	7524	60883
110	7593	60818
111	7662	60748
112	7730	60681
113	7801	60629
114	7866	60534
115	7928	60421
116	7995	60339
117	8056	60216
118	8117	60097
119	8184	60021
120	8249	59929
121	8312	59820
122	8378	59740
123	8445	59666
124	8513	59592
125	8578	59501
126	8640	59397
127	8703	59295
128	8769	59208
129	8836	59133
130	8838	58632
131	8899	58522
132	8965	58442
133	9031	58365
134	9100	58308
135	9169	58252
136	9229	58139
137	9233	57676
138	9294	57573
139	9359	57493
140	9422	57402
141	9487	57324
142	9550	57234
143	9617	57169
144	9687	57122
145	9750	57032
146	9818	56976
147	9883	56894
148	9945	56804
149	10010	56724
150	10076	56657
151	10148	56620
152	10215	56551
153	10283	56492
154	10352	56438
155	10419	56371
156	10488	56317
157	10554	56243
158	10619	56171
159	10682	56085
160	10749	56019
161	10816	55950
162	10880	55868
163	10944	55791
164	11013	55736
165	11079	55666
166	11145	55593
167	11211	55526
168	11280	55466
169	11349	55412
170	11415	55342
171	11483	55280
172	11551	55220
173	11620	55163
174	11688	55102
175	11756	55041
176	11826	54990
177	11894	54930
178	11961	54861
179	12028	54797
180	12057	54559
181	12125	54499
182	12193	54435
183	12260	54372
184	12328	54313
185	12397	54254
186	12463	54184
187	12531	54126
188	12600	54068
189	12668	54008
190	12737	53949
191	12805	53890
192	12874	53834
193	12943	53773
194	13010	53709
195	13078	53648
196	13147	53590
197	13215	53528
198	13285	53474
199	13353	53413
200	13421	53350
201	13486	53276
202	13554	53217
203	13624	53161
204	13692	53100
205	13760	53039
206	13829	52980
207	13899	52923
208	13967	52861
209	14035	52800
210	14104	52739
211	14170	52671
212	14237	52604
213	14304	52539
214	14363	52443
215	14423	52353
216	14491	52288
217	14560	52229
218	14628	52169
219	14695	52102
220	14761	52033
221	14830	51972
222	14898	51910
223	14965	51845
224	15032	51778
225	15101	51719
226	15170	51661
227	15236	51591
228	15305	51530
229	15374	51470
230	15445	51417
231	15513	51355
232	15582	51294
233	15651	51234
234	15718	51167
235	15786	51104
236	15854	51040
237	15922	50978
238	15990	50915
239	16052	50834
240	16115	50752
241	16172	50654
242	16239	50589
243	16304	50516
244	16371	50451
245	16438	50384
246	16507	50324
247	16575	50262
248	16638	50182
249	16707	50121
250	16775	50058
251	16844	49997
252	16913	49937
253	16982	49877
254	17048	49808
255	17113	49735
256	17178	49662
257	17240	49583
258	17307	49515
259	17375	49452
260	17445	49395
261	17513	49332
262	17579	49262
263	17642	49186
264	17709	49119
265	17777	49054
266	17844	48987
267	17901	48895
268	17961	48810
269	18027	48742
270	18094	48675
271	18165	48620
272	18232	48553
273	18301	48493
274	18366	48420
275	18430	48347
276	18497	48280
277	18565	48217
278	18627	48138
279	18691	48064
280	18756	47991
281	18823	47926
282	18899	47882
283	18973	47834
284	19043	47775
285	19107	47702
286	19174	47634
287	19243	47573
288	19312	47513
289	19381	47450
290	19448	47383
291	19513	47314
292	19581	47249
293	19649	47185
294	19716	47118
295	19788	47063
296	19862	47015
297	19936	46964
298	20006	46904
299	20075	46842
300	20142	46775
301	20212	46715
302	20281	46653
303	20350	46591
304	20418	46527
305	20486	46463
306	20555	46399
307	20619	46327
308	20687	46262
309	20757	46201
310	20826	46139
311	20894	46075
312	20955	45995
313	21024	45933
314	21094	45873
315	21162	45807
316	21231	45744
317	21298	45678
318	21366	45613
319	21429	45537
320	21496	45471
321	21560	45397
322	21624	45325
323	21694	45264
324	21762	45199
325	21827	45128
326	21895	45062
327	21963	44997
328	22031	44933
329	22104	44879
330	22170	44810
331	22239	44747
332	22304	44676
333	22366	44598
334	22427	44519
335	22490	44445
336	22558	44381
337	22628	44320
338	22692	44246
339	22755	44171
340	22814	44090
341	22880	44022
342	22941	43943
343	23011	43881
344	23075	43810
345	23143	43744
346	23210	43678
347	23277	43611
348	23344	43545
349	23414	43484
350	23477	43409
351	23537	43330
352	23592	43241
353	23659	43175
354	23727	43109
355	23788	43033
356	23856	42969
357	23926	42906
358	23993	42841
359	24063	42778
360	24131	42714
361	24200	42650
362	24266	42583
363	24333	42517
364	24397	42445
365	24457	42365
366	24516	42285
367	24586	42223
368	24654	42159
369	24723	42097
370	24785	42022
371	24845	41943
372	24911	41875
373	24977	41806
374	25044	41740
375	25112	41675
376	25176	41605
377	25240	41533
378	25302	41458
379	25365	41385
380	25432	41319
381	25500	41254
382	25567	41187
383	25634	41121
384	25703	41058
385	25769	40991
386	25837	40925
387	25900	40853
388	25967	40786
389	26034	40720
390	26100	40652
391	26163	40580
392	26234	40519
393	26304	40458
394	26378	40402
395	26451	40345
396	26520	40281
397	26600	40235
398	26667	40167
399	26736	40104
400	26799	40032
401	26869	39970
402	26942	39912
403	27019	39859
404	27103	39818
405	27177	39761
406	27249	39703
407	27323	39645
408	27399	39592
409	27474	39536
410	27547	39477
411	27617	39415
412	27689	39355
413	27762	39297
414	27836	39238
415	27907	39178
416	27982	39121
417	28051	39057
418	28119	38991
419	28187	38925
420	28255	38860
421	28323	38793
422	28391	38728
423	28460	38662
424	28528	38596
425	28595	38529
426	28662	38463
427	28731	38398
428	28794	38325
429	28861	38258
430	28932	38195
431	29001	38131
432	29070	38066
433	29138	38000
434	29206	37934
435	29276	37871
436	29345	37806
437	29412	37739
438	29481	37674
439	29552	37612
440	29620	37545
441	29688	37480
442	29754	37411
443	29823	37346
444	29891	37280
445	29958	37213
446	30026	37147
447	30094	37081
448	30161	37013
449	30230	36948
450	30299	36883
451	30368	36818
452	30435	36751
453	30504	36685
454	30573	36621
455	30641	36554
456	30711	36491
457	30779	36424
458	30847	36358
459	30914	36291
460	30983	36225
461	31056	36164
462	31131	36107
463	31204	36046
464	31277	35986
465	31348	35922
466	31417	35857
467	31485	35791
468	31553	35724
469	31627	35664
470	31701	35605
471	31772	35542
472	31839	35474
473	31909	35409
474	31977	35343
475	32045	35277
476	32114	35211
477	32180	35143
478	32249	35077
479	32318	35011
480	32381	34939
481	32451	34874
482	32520	34809
483	32582	34736
484	32649	34668
485	32714	34599
486	32779	34529
487	32847	34463
488	32913	34394
489	32980	34326
490	33049	34261
